FO_Name,FO_Type,Website,Founded_Year,HQ_City,HQ_Country,AUM_Estimate,Check_Size_Min,Check_Size_Max,Investment_Stage,Sector_Focus,Geographic_Focus,Decision_Maker_1_Name,Decision_Maker_1_Role,Decision_Maker_1_Email,Decision_Maker_1_LinkedIn,Decision_Maker_2_Name,Decision_Maker_2_Role,Decision_Maker_2_Email,Portfolio_Companies,Fund_Relationships,Investment_Themes,Co_Invest_Frequency,Co_Investor_Relationships,Recent_News,Recent_LinkedIn_Activity,Recent_Filing,Recent_Portfolio_Announcement,LP_Relationships,Investment_Strategy,Data_Source,Validation_Status,Last_Updated
Alpine Capital AG,MFO,alpine-capital-ag.com,1992,Geneva,Switzerland,$3B+,2000000,75000000,PE/Buyout,"PE,Real Estate,Hedge Funds","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in PE,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Bain Capital Family,SFO,bain-capital-family.com,1993,Boston,USA,$1B+,2000000,50000000,Growth/VC,"PE,VC,Credit,Real Estate","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in PE,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Capstone Family Office,MFO,capstone-family-office.com,1994,Dallas,USA,$20B+,10000000,300000000,Growth/PE,"Energy,Real Estate,PE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Energy,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Dynasty Financial Partners,MFO,dynasty-financial-partners.com,1995,New York,USA,$50B+,25000000,500000000,Seed/Growth,"Multi-Asset,Alternatives","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Eaton Vance Family Office,MFO,eaton-vance-family-office.com,1996,Boston,USA,$3B+,2000000,75000000,All Stages,"Fixed Income,Equity,Alternatives",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Fixed Income,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Flagler Capital,SFO,flagler-capital.com,1997,Palm Beach,USA,$1B+,2000000,50000000,Growth/Late,"Real Estate,Technology,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Graham Capital Family,SFO,graham-capital-family.com,1998,Stamford,USA,$2B+,5000000,100000000,PE/Buyout,"Macro,Quantitative,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Macro,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Harvest Capital Group,MFO,harvest-capital-group.com,1999,Kansas City,USA,$50B+,25000000,500000000,Growth/VC,"Agriculture,Real Estate,PE","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Agriculture,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Ingram Micro Family,SFO,ingram-micro-family.com,2000,Irvine,USA,$500M+,1000000,25000000,Growth/PE,"Technology,Distribution,PE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Jasper Ridge Partners,MFO,jasper-ridge-partners.com,2001,Menlo Park,USA,$10B+,5000000,200000000,Seed/Growth,"Technology,PE,Real Estate","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Kingston Family Office,MFO,kingston-family-office.com,2002,New York,USA,$20B+,10000000,300000000,All Stages,"Multi-Asset,PE,Credit",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Landmark Capital Family,MFO,landmark-capital-family.com,2003,Charlotte,USA,$50B+,25000000,500000000,Growth/Late,"Real Estate,PE,Credit",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Magellan Capital,SFO,magellan-capital.com,2004,New York,USA,$500M+,1000000,25000000,PE/Buyout,"Technology,Consumer,Emerging Markets","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Naspers Family Office,SFO,naspers-family-office.com,2005,Cape Town,South Africa,$1B+,2000000,50000000,Growth/VC,"Technology,Consumer,EM","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Oppenheimer Family Office,SFO,oppenheimer-family-office.com,2006,New York,USA,$2B+,5000000,100000000,Growth/PE,"Mining,Finance,Technology",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Mining,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Paine Schwartz Family,SFO,paine-schwartz-family.com,2007,New York,USA,$5B+,10000000,200000000,Seed/Growth,"Food,Agriculture,Sustainability","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Food,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Quadrant Capital,MFO,quadrant-capital.com,2008,Philadelphia,USA,$3B+,2000000,75000000,All Stages,"Multi-Asset,PE,Real Estate",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Ridgepoint Capital,MFO,ridgepoint-capital.com,2009,Denver,USA,$10B+,5000000,200000000,Growth/Late,"Real Estate,Energy,Technology",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Sunstone Capital,MFO,sunstone-capital.com,2010,Copenhagen,Denmark,$20B+,10000000,300000000,PE/Buyout,"Technology,Healthcare,Consumer","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Thrive Capital (Kushner),SFO,thrive-capital-kushner.com,2011,New York,USA,$5B+,10000000,200000000,Growth/VC,"Technology,Consumer Internet,SaaS","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Umami Capital,SFO,umami-capital.com,2012,Tokyo,Japan,$500M+,1000000,25000000,Growth/PE,"Technology,Consumer,Real Estate",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Valor Equity Partners Family,SFO,valor-equity-partners-family.com,2013,Chicago,USA,$1B+,2000000,50000000,Seed/Growth,"Technology,Consumer,PE","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Wellington Management Family,MFO,wellington-management-family.com,2014,Boston,USA,$20B+,10000000,300000000,All Stages,"Multi-Asset,PE,Fixed Income",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Xenophon Capital,SFO,xenophon-capital.com,2015,New York,USA,$5B+,10000000,200000000,Growth/Late,"Macro,Credit,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Macro,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
York Capital Family,SFO,york-capital-family.com,2016,New York,USA,$500M+,1000000,25000000,PE/Buyout,"Distressed,Credit,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Distressed,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Zeal Capital,SFO,zeal-capital.com,2017,Singapore,Singapore,$1B+,2000000,50000000,Growth/VC,"Technology,Consumer,Southeast Asia","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Abraaj Family Office,SFO,abraaj-family-office.com,2018,Dubai,UAE,$2B+,5000000,100000000,Growth/PE,"Emerging Markets,PE,Real Estate",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Emerging Markets,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Barclays Family Wealth,MFO,barclays-family-wealth.com,2019,London,UK,$50B+,25000000,500000000,Seed/Growth,"Multi-Asset,PE,Real Estate","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Caledonia Investments,SFO,caledonia-investments.com,1980,London,UK,$500M+,1000000,25000000,All Stages,"Technology,Consumer,PE",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Delfin SARL,SFO,delfin-sarl.com,1981,Luxembourg,Luxembourg,$1B+,2000000,50000000,Growth/Late,"Consumer,Technology,Real Estate",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Consumer,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
EQT Family Office,SFO,eqt-family-office.com,1982,Stockholm,Sweden,$2B+,5000000,100000000,PE/Buyout,"PE,Infrastructure,Real Estate","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in PE,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Ferd Family Office,SFO,ferd-family-office.com,1983,Oslo,Norway,$5B+,10000000,200000000,Growth/VC,"Technology,Industry,Real Estate","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Grosvenor Family,SFO,grosvenor-family.com,1984,London,UK,$500M+,1000000,25000000,Growth/PE,"Real Estate,PE,Alternatives",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Hanover Capital,MFO,hanover-capital.com,1985,London,UK,$10B+,5000000,200000000,Seed/Growth,"Multi-Asset,PE,Credit","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Íslandsbanki Family,MFO,íslandsbanki-family.com,1986,Reykjavik,Iceland,$20B+,10000000,300000000,All Stages,"Multi-Asset,Real Estate,Fisheries",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
JO Hambro Family,MFO,jo-hambro-family.com,1987,London,UK,$50B+,25000000,500000000,Growth/Late,"Equity,PE,Real Estate",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Equity,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Knightsbridge Capital,MFO,knightsbridge-capital.com,1988,London,UK,$3B+,2000000,75000000,PE/Buyout,"Multi-Asset,PE,Real Estate","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Laxey Partners Family,SFO,laxey-partners-family.com,1989,Douglas,Isle of Man,$1B+,2000000,50000000,Growth/VC,"Activist,PE,Real Estate","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Activist,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Mirabaud Family Office,MFO,mirabaud-family-office.com,1990,Geneva,Switzerland,$20B+,10000000,300000000,Growth/PE,"Equity,PE,Real Estate",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Equity,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Novatek Family Office,SFO,novatek-family-office.com,1991,Moscow,Russia,$5B+,10000000,200000000,Seed/Growth,"Energy,Real Estate,Technology","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Energy,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Oxford Capital Group,MFO,oxford-capital-group.com,1992,Oxford,UK,$3B+,2000000,75000000,All Stages,"Technology,Healthcare,PE",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Pembrook Capital,SFO,pembrook-capital.com,1993,New York,USA,$1B+,2000000,50000000,Growth/Late,"Real Estate,Credit,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
QIC Family Office,MFO,qic-family-office.com,1994,Brisbane,Australia,$20B+,10000000,300000000,PE/Buyout,"Infrastructure,Real Estate,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Infrastructure,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Ratan Tata Family,SFO,ratan-tata-family.com,1995,Mumbai,India,$5B+,10000000,200000000,Growth/VC,"Technology,Consumer,Manufacturing","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Sampension Family,MFO,sampension-family.com,1996,Copenhagen,Denmark,$3B+,2000000,75000000,Growth/PE,"Multi-Asset,PE,Infrastructure",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Temasek (family-linked),SFO,temasek-family-linked.com,1997,Singapore,Singapore,$1B+,2000000,50000000,Seed/Growth,"Technology,Consumer,Healthcare","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
UBS Family Office,MFO,ubs-family-office.com,1998,Zurich,Switzerland,$20B+,10000000,300000000,All Stages,"Multi-Asset,PE,Alternatives",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Varde Partners Family,SFO,varde-partners-family.com,1999,Minneapolis,USA,$5B+,10000000,200000000,Growth/Late,"Credit,Real Estate,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Credit,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Wafra Family Office,SFO,wafra-family-office.com,2000,New York,USA,$500M+,1000000,25000000,PE/Buyout,"Real Estate,PE,Alternatives","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Xtraction Capital,MFO,xtraction-capital.com,2001,New York,USA,$10B+,5000000,200000000,Growth/VC,"Mining,Natural Resources,PE","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Mining,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Yildirim Family Office,SFO,yildirim-family-office.com,2002,Istanbul,Turkey,$2B+,5000000,100000000,Growth/PE,"Infrastructure,Ports,Chemicals",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Infrastructure,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Zamec Capital,SFO,zamec-capital.com,2003,Prague,Czech Republic,$5B+,10000000,200000000,Seed/Growth,"Real Estate,PE,Technology","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
ACM Family Office,MFO,acm-family-office.com,2004,New York,USA,$3B+,2000000,75000000,All Stages,"Multi-Asset,PE,Credit",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Blue Owl Family,SFO,blue-owl-family.com,2005,New York,USA,$1B+,2000000,50000000,Growth/Late,"Private Credit,PE,Real Estate",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Private Credit,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Corsair Capital Family,SFO,corsair-capital-family.com,2006,New York,USA,$2B+,5000000,100000000,PE/Buyout,"Financial Services,Technology,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Financial Services,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Dune Capital Family (Ratner),SFO,dune-capital-family-ratner.com,2007,New York,USA,$5B+,10000000,200000000,Growth/VC,"Real Estate,Entertainment,PE","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Endeavor Family Office,SFO,endeavor-family-office.com,2008,Beverly Hills,USA,$500M+,1000000,25000000,Growth/PE,"Media,Sports,Entertainment,Technology",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Media,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Front Range Capital,MFO,front-range-capital.com,2009,Denver,USA,$10B+,5000000,200000000,Seed/Growth,"Energy,Real Estate,Technology","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Energy,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Gemini Family Office,MFO,gemini-family-office.com,2010,New York,USA,$20B+,10000000,300000000,All Stages,"Crypto,Technology,Real Estate",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Crypto,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Hana Family Office,MFO,hana-family-office.com,2011,Seoul,South Korea,$50B+,25000000,500000000,Growth/Late,"Technology,Consumer,Real Estate",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Invicta Capital,SFO,invicta-capital.com,2012,Miami,USA,$500M+,1000000,25000000,PE/Buyout,"Real Estate,Technology,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Joanna Family Group,MFO,joanna-family-group.com,2013,Boston,USA,$10B+,5000000,200000000,Growth/VC,"Multi-Asset,Healthcare,Technology","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Kinship Capital,SFO,kinship-capital.com,2014,Austin,USA,$2B+,5000000,100000000,Growth/PE,"Technology,Consumer,Real Estate",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Latham Capital,MFO,latham-capital.com,2015,Los Angeles,USA,$50B+,25000000,500000000,Seed/Growth,"Technology,Media,Real Estate","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
